SnowID,SMAXId,Status,Time(in millisec),UseCase
Carretera Cancun-Chetumal KM 22, Cancun,18371,Success,1244
Carrera 54 No. 49 - 31, Medellin,18372,Success,2402
Hamburg,10893,Success,1217
Cape Town,18257,Success,3301
Johannesburg,18258,Success,2615
Melbourne,18259,Success,5038
Brisbane,18259,Failed,1268
Geneva,18261,Success,1178
Fort Worth,18265,Success,1217
Loveland,18379,Success,1262
150 Kennedy Road, Hong Kong,18383,Success,1293
Merrillville,18384,Success,1128
Seattle,18385,Success,1517
Brasil,18269,Success,1379
Manitoba,18387,Success,1174
Colorado,18388,Success,1639
75-85 York Street, Melbourne,18388,Failed,1195
Utah,18388,Failed,3735
Georgia,18388,Failed,1164
Michigan,18388,Failed,1186
Virginia,18388,Failed,1240
Houston,10990,Success,1186
Louisiana,10990,Failed,1198
Tennessee,10990,Failed,1197
Westminster,10990,Failed,1196
Stafford,10990,Failed,1195
Indiana,17945,Success,1202
New Jersey,17945,Failed,1178
Pennsylvania,17945,Failed,1427
30 Katharinenstr, Hamburg,17945,Failed,1152
Wyoming,17945,Failed,1191
450 Lexington Avenue, New York,NY,17945,Failed,1178
450 West 14th Avenue, Denver,CO,17945,Failed,2080
Mexico,10877,Success,1158
