SnowID,SMAXId,Status,Time(in millisec),UseCase
675 Lakeview Parkway, Vernon Hills,IL,null,Failed,1142
9249 Cicero Avenue, Oak Lawn,IL,null,Failed,1159
15128 South La Grange Road, Orland Park,IL,null,Failed,1169
1400 Centre Circle, Downers Grove,IL,null,Failed,1149
757 East Lewis and Clark Parkway #814, Clarksville,IN,null,Failed,1149
125 West South Street, Indianapolis,IN,null,Failed,2200
1701 East Edgewood Avenue, Southport,IN,null,Failed,1174
5868 East 71st Street, Indianapolis,IN,null,Failed,1223
6401 Gateway Drive, Indianapolis,IN,null,Failed,1141
303 West 80th Place, Merrillville,IN,null,Failed,1194
1116 Ulrich Avenue, Louisville,KY,null,Failed,1146
420 Columbia Street, Newport,KY,null,Failed,1183
25 New Chardon Street, Boston,MA,null,Failed,3754
1624 Ness Ave, Winnipeg MB,null,Failed,1149
143 Rollins Avenue, Rockville,MD,null,Failed,1216
808 Glen Eagles Court #1, Baltimore,MD,null,Failed,1182
2351 Bellingham Drive, Troy,MI,null,Failed,1190
7007 Metropolitan Parkway, Sterling Heights,MI,null,Failed,1131
7550 22nd Avenue South, Minneapolis,MN,null,Failed,1195
314 Lennon Drive, Wilmington,NC,null,Failed,1209
4000 Atlantic Avenue, Raleigh,NC,null,Failed,4334
1820 Harris Houston Road, Charlotte,NC,null,Failed,1177
206 East 1st Street, Lowell,NC,null,Failed,1153
2217 Matthews Township Parkway, Matthews,NC,null,Failed,1206
254 Daniel Webster Highway #4, Nashua,NH,null,Failed,1148
95 Eddy Road, Manchester,NH,null,Failed,1149
33 East Midland Avenue, Paramus,NJ,null,Failed,2521
322 West 52nd Street, New York,NY,null,Failed,1167
4040 Erie Street, Willoughby,OH,null,Failed,1216
395 Federal Street, Pittsburgh,PA,null,Failed,1152
Pittsburgh,PA,null,Failed,1162
300 Bristol Pike, Croydon,PA,null,Failed,1191
620 Allendale Road #125, King of Prussia,PA,null,Failed,1155
820 67th Avenue North, Myrtle Beach,SC,null,Failed,1174
601 College Street, Clarksville,TN,null,Failed,1199
301 Northcreek Boulevard, Goodlettsville,TN,null,Failed,1192
1801 Memorial Boulevard, Murfreesboro,TN,null,Failed,1449
16 Arcade, Nashville,TN,null,Failed,1499
4112 Nolensville Pike, Nashville,TN,null,Failed,1199
9201 Warren Parkway #200, Frisco,TX,null,Failed,1181
3501 Gus Thomasson Road #35, Mesquite,TX,null,Failed,1120
400 North Ervay Street, Dallas,TX,null,Failed,1175
13770 Noel Road, Dallas,TX,null,Failed,1198
1975 Ballpark Way, Arlington,TX,null,Failed,1199
4401 Little Road #550, Arlington,TX,null,Failed,1209
5358 Wedgmont Circle North, Fort Worth,TX,null,Failed,1237
8723 Bedford Euless Road, Hurst,TX,null,Failed,1189
5740 West Little York Road, Houston,TX,null,Failed,1205
9600 Westheimer Road, Houston,TX,null,Failed,1187
12955 Bow Willow, Houston,TX,null,Failed,1215
17119 Red Oak Drive, Houston,TX,null,Failed,1155
3740 Greenbriar Street, Houston,TX,null,Failed,1225
1600 2nd Street, Seabrook,TX,null,Failed,1197
823 Congress Avenue #150, Austin,TX,null,Failed,1153
101 Broadway East, Seattle,WA,null,Failed,4402
5200 West Oklahoma Avenue, Milwaukee,WI,null,Failed,1167
4800 Converse Avenue, Cheyenne,WY,null,Failed,1185
SHS quadra 5, Bloco E., Brasilia,null,Failed,1233
Carretera Cancun-Chetumal KM 22, Cancun,null,Failed,1198
Hamburg,null,Failed,1151
Cape Town,null,Failed,1141
Johannesburg,null,Failed,1180
Melbourne,null,Failed,1218
Brisbane,null,Failed,1180
Geneva,null,Failed,1132
Clarksville,null,Failed,1247
Mentor,null,Failed,1211
Fort Worth,null,Failed,1219
Loveland,null,Failed,1173
150 Kennedy Road, Hong Kong,null,Failed,1149
Merrillville,null,Failed,3245
Seattle,null,Failed,1199
Brasil,null,Failed,1137
Manitoba,null,Failed,1160
Colorado,null,Failed,4295
75-85 York Street, Melbourne,null,Failed,1487
Utah,null,Failed,1207
Georgia,null,Failed,1480
Michigan,null,Failed,1207
Virginia,null,Failed,1153
Houston,null,Failed,1178
Louisiana,null,Failed,1151
Tennessee,null,Failed,1190
Westminster,null,Failed,1193
Stafford,null,Failed,1168
Indiana,null,Failed,1155
New Jersey,null,Failed,1229
Pennsylvania,null,Failed,1225
30 Katharinenstr, Hamburg,null,Failed,2096
Wyoming,null,Failed,1176
450 Lexington Avenue, New York,NY,null,Failed,1223
450 West 14th Avenue, Denver,CO,null,Failed,1144
Mexico,null,Failed,1172
